Problem Size,Total Time(seconds),MFLOPS,%MemBandwidth,Memory Latency(ns)
8388608,0.01,838.8608,0,0
16777216,0.02,838.8608,0,0
33554432,0.03,1118.481067,0,0
67108864,0.06,1118.481067,0,0
134217728,0.13,1032.444062,0,0
268435456,0.25,1073.741824,0,0
8388608,0.04,209.7152,20.48,9.537
16777216,0.08,209.7152,20.48,9.537
33554432,0.27,124.2756741,12.1362963,16.093
67108864,0.52,129.0555077,12.60307692,15.497
134217728,0.55,244.0322327,23.83127273,8.196
268435456,1.75,153.3916891,14.97965714,13.039
8388608,0.01,838.8608,40.96,1.192
16777216,0.02,838.8608,40.96,1.192
33554432,0.04,838.8608,40.96,1.192
67108864,0.08,838.8608,40.96,1.192
134217728,0.16,838.8608,40.96,1.192
268435456,0.31,865.9208258,42.2812903,1.155
